unit_id,submission_id,industry_name,sector,heating_arrangement,fuel,capacity_kw_thermal,capacity_source,running_hours_day,input_energy_kwh_day,rated_energy_ceiling_kwh_day,implied_average_power_kw,implied_load_fraction,operating_load_raw,process_temperature_c,anomaly_flags,validation_status
850210461-laminating-1,850210461,Chandika Print Pack,laminating,hot air generator,electric,30.0,reported_kW,10.0,15.0,300.0,1.5,0.05,50–75%,55.0,reported_load_vs_implied_load_mismatch,data_gap_or_review
850210461-printing-2,850210461,Chandika Print Pack,printing,hot air generator,electric,85.0,reported_kW,10.0,25.0,850.0,2.5,0.029411764705882353,50–75%,,reported_load_vs_implied_load_mismatch,data_gap_or_review
866599821-printing-2,866599821,Galaxy Packaging,printing,hot air generator,pellet,348.9,converted_kcal_per_hr,24.0,1777.7777777777778,8373.599999999999,74.07407407407408,0.2123074636688853,50–75%,,reported_load_vs_implied_load_mismatch,data_gap_or_review
866599821-printing-3,866599821,Galaxy Packaging,printing,hot air generator,electric,150.0,reported_kW,12.0,,1800.0,,,Variable / Don't know,,missing_daily_energy,data_gap_or_review
850264496-laminating-1,850264496,Godawari Printng,laminating,thermic oil,electric,28.0,reported_kW,10.0,1096.0,280.0,109.6,3.914285714285714,50–75%,48.0,daily_energy_exceeds_rated_ceiling; implied_power_exceeds_capacity; reported_load_vs_implied_load_mismatch,needs_verification
850264496-printing-1,850264496,Godawari Printng,printing,hot air generator,electric,90.0,reported_kW,10.0,38.0,900.0,3.8,0.042222222222222223,50–75%,,reported_load_vs_implied_load_mismatch,data_gap_or_review
850257306-laminating-1,850257306,National Plastic Industry,laminating,thermic oil,electric,25.0,reported_kW,8.0,12.0,200.0,1.5,0.06,50–75%,45.0,reported_load_vs_implied_load_mismatch,data_gap_or_review
850257306-printing-1,850257306,National Plastic Industry,printing,hot air generator,electric,80.0,reported_kW,10.0,28.0,800.0,2.8,0.034999999999999996,75–100%,,reported_load_vs_implied_load_mismatch,data_gap_or_review
850238074-laminating-1,850238074,Shree Polythene and Plastic udhyog,laminating,thermic oil,electric,20.0,reported_kW,8.0,15.0,160.0,1.875,0.09375,50–75%,50.0,reported_load_vs_implied_load_mismatch,data_gap_or_review
850238074-printing-1,850238074,Shree Polythene and Plastic udhyog,printing,hot air generator,electric,90.0,reported_kW,10.0,30.0,900.0,3.0,0.03333333333333333,50–75%,,reported_load_vs_implied_load_mismatch,data_gap_or_review
850238074-printing-2,850238074,Shree Polythene and Plastic udhyog,printing,hot air generator,diesel,58.15,converted_kcal_per_hr,10.0,106.6,581.5,10.66,0.18331900257953568,50–75%,,reported_load_vs_implied_load_mismatch,data_gap_or_review
865109275-laminating-1,865109275,Uday Shree Print Pack Pvt Ltd,laminating,thermic oil,electric,,missing,12.0,1200.0,,100.0,,Variable / Don't know,,missing_capacity,data_gap_or_review
865109275-printing-1,865109275,Uday Shree Print Pack Pvt Ltd,printing,hot air generator,electric,144.0,reported_kW,20.0,,2880.0,,,Variable / Don't know,,missing_daily_energy,data_gap_or_review
