submission_id,sector,unit_index,unit_id,heating_arrangement,fuel,capacity_kcal_hr_reported,capacity_kw_reported,capacity_kw_thermal,capacity_source,operating_load_raw,load_fraction_low,load_fraction_high,load_fraction_mid,running_hours_day,diesel_l_day,fuel_kg_day,electric_kwh_day,daily_consumption_raw,process_temperature_c,input_energy_kwh_day,input_energy_mj_day,annual_input_energy_mwh,industry_name,location,transformer_capacity_kva,maximum_demand_kw,spare_electrical_capacity,grid_reliability,space_available,daily_operating_hours_company,annual_operating_days,daily_production,willing_to_switch,rated_energy_ceiling_kwh_day,implied_average_power_kw,implied_load_fraction,reported_midpoint_vs_implied_ratio,screening_useful_heat_kwh_day,screening_efficiency_assumption,anomaly_flags,anomaly_flag_count,validation_status,sum_reported_electric_unit_kwh_day,screening_new_electric_average_kw,transformer_headroom_kva_screening,transformer_headroom_pct_screening
850210461,laminating,1,850210461-laminating-1,hot air generator,electric,,30.0,30.0,reported_kW,50–75%,0.5,0.75,0.625,10.0,,,15.0,,55.0,15.0,54.0,4.5,Chandika Print Pack,"Shreekhandapur, Dhulikhel",350.0,300.0,Yes,Reliable,Yes,10.0,300.0,1600.0,Yes,300.0,1.5,0.05,0.08,14.7,0.98,reported_load_vs_implied_load_mismatch,1,data_gap_or_review,40.0,1.47,50.0,0.14285714285714285
850210461,printing,1,850210461-printing-1,hot air generator,pellet,50000.0,,58.15,converted_kcal_per_hr,50–75%,0.5,0.75,0.625,10.0,,60.0,,,,266.6666666666667,960.0000000000001,80.0,Chandika Print Pack,"Shreekhandapur, Dhulikhel",350.0,300.0,Yes,Reliable,Yes,10.0,300.0,1600.0,Yes,581.5,26.666666666666668,0.4585841215247922,0.7337345944396676,200.0,0.75,,0,screening_pass,40.0,20.0,50.0,0.14285714285714285
850210461,printing,2,850210461-printing-2,hot air generator,electric,,85.0,85.0,reported_kW,50–75%,0.5,0.75,0.625,10.0,,,25.0,,,25.0,90.0,7.5,Chandika Print Pack,"Shreekhandapur, Dhulikhel",350.0,300.0,Yes,Reliable,Yes,10.0,300.0,1600.0,Yes,850.0,2.5,0.029411764705882353,0.047058823529411764,24.5,0.98,reported_load_vs_implied_load_mismatch,1,data_gap_or_review,40.0,2.45,50.0,0.14285714285714285
866599821,laminating,1,866599821-laminating-1,hot air generator,pellet,100000.0,,116.3,converted_kcal_per_hr,,,,,12.0,,150.0,,,55.0,666.6666666666666,2400.0,200.0,Galaxy Packaging,Bara,1000.0,860.0,Yes,Moderate,Yes,18.0,300.0,15000.0,Yes,1395.6,55.55555555555555,0.47769179325499184,,500.0,0.75,,0,screening_pass,0.0,41.666666666666664,140.0,0.14
866599821,printing,1,866599821-printing-1,hot air generator,pellet,600000.0,,697.8,converted_kcal_per_hr,50–75%,0.5,0.75,0.625,24.0,,1200.0,,,,5333.333333333333,19200.0,1600.0,Galaxy Packaging,Bara,1000.0,860.0,Yes,Moderate,Yes,18.0,300.0,15000.0,Yes,16747.199999999997,222.2222222222222,0.3184611955033279,0.5095379128053247,4000.0,0.75,,0,screening_pass,0.0,166.66666666666666,140.0,0.14
866599821,printing,2,866599821-printing-2,hot air generator,pellet,300000.0,,348.9,converted_kcal_per_hr,50–75%,0.5,0.75,0.625,24.0,,400.0,,,,1777.7777777777778,6400.0,533.3333333333334,Galaxy Packaging,Bara,1000.0,860.0,Yes,Moderate,Yes,18.0,300.0,15000.0,Yes,8373.599999999999,74.07407407407408,0.2123074636688853,0.3396919418702165,1333.3333333333335,0.75,reported_load_vs_implied_load_mismatch,1,data_gap_or_review,0.0,55.555555555555564,140.0,0.14
866599821,printing,3,866599821-printing-3,hot air generator,electric,,150.0,150.0,reported_kW,Variable / Don't know,,,,12.0,,,,,,,,,Galaxy Packaging,Bara,1000.0,860.0,Yes,Moderate,Yes,18.0,300.0,15000.0,Yes,1800.0,,,,,0.98,missing_daily_energy,1,data_gap_or_review,0.0,,140.0,0.14
850264496,laminating,1,850264496-laminating-1,thermic oil,electric,,28.0,28.0,reported_kW,50–75%,0.5,0.75,0.625,10.0,,,1096.0,,48.0,1096.0,3945.6,312.36,Godawari Printng,Balaju Industrial state,200.0,180.0,No,Reliable,Yes,10.0,285.0,800.0,Yes,280.0,109.6,3.914285714285714,6.2628571428571425,1074.08,0.98,daily_energy_exceeds_rated_ceiling; implied_power_exceeds_capacity; reported_load_vs_implied_load_mismatch,3,needs_verification,1134.0,107.40799999999999,20.0,0.1
850264496,printing,1,850264496-printing-1,hot air generator,electric,,90.0,90.0,reported_kW,50–75%,0.5,0.75,0.625,10.0,,,38.0,,,38.0,136.8,10.83,Godawari Printng,Balaju Industrial state,200.0,180.0,No,Reliable,Yes,10.0,285.0,800.0,Yes,900.0,3.8,0.042222222222222223,0.06755555555555556,37.24,0.98,reported_load_vs_implied_load_mismatch,1,data_gap_or_review,1134.0,3.724,20.0,0.1
850257306,laminating,1,850257306-laminating-1,thermic oil,electric,,25.0,25.0,reported_kW,50–75%,0.5,0.75,0.625,8.0,,,12.0,,45.0,12.0,43.2,3.6,National Plastic Industry,Balaju Industrial State,500.0,250.0,Yes,Reliable,Yes,8.0,300.0,1000.0,Yes,200.0,1.5,0.06,0.096,11.76,0.98,reported_load_vs_implied_load_mismatch,1,data_gap_or_review,40.0,1.47,250.0,0.5
